code,name,categoryCode,abbrevation
0101001,Darjah Kerabat Yang Amat Dihormati - Pangkat Yang Pertama,01,D.K I
0101002,Darjah Kerabat Yang Amat Dihormati - Pangkat Yang Kedua,01,D. K II
0101003,Seri Paduka Mahkota Johor Yang Amat Mulia,01,S.P.M.J
0101004,Dato' Paduka Mahkota Johor,01,D.P.M.J
0101005,Setia Mahkota Johor ,02,S.M.J
0101006,"Pingat Ibrahim Sultan Pangkat Pertama",02,P.I.S I
0101007,"Pingat Ibrahim Sultan Pangkat Kedua",02,P.I.S II
0101008,"Pingat Ibrahim Sultan Pangkat Ketiga",02,P.I.S III
0101009,Penghargaan Perkhidmatan Cemerlang Maj. Kes. Negara,04,
0101012,Pingat Kerana Lama Dan Baik Dalam Pekerjaan,02,P.L.P
0101013,Pingat Kerana Jasa Dan Lama Dalam Pekerjaan,02,P.J.P
0101014,Bintang Sultan Ismail Pangkat Pertama,02,B.S.I I
0101015,Bintang Sultan Ismail Pangkat Kedua,02,B.S.I II
0101017,Jaksa Pendamai,02,J.P
0101018,"Seri Setia Sultan Ismail Johor Yang Amat Diberkati",01,S.S.I.J
0101019,Dato' Setia Ismail Johor,01,D.S.I.J
0101020,Pingat Besi Kerana Keberanian Dan Jasa Pangkat Yang Pertama,02,P.B. I
0101021,Pingat Besi Kerana Keberanian Dan Jasa Pangkat Yang Kedua,02,P.B. II
0101022,Pangkat Ketiga Setia Mulia Sultan Ibrahim Johor (SIJ),02,
0201001,"Darjah Seri Setia Di Raja Kedah",01,S.S.D.K
0201003,Orang Besar Empat - Tunku Temenggong,02,
0201004,Orang Besar Empat - Tunku Laksamana,02,
0201005,Orang Besar Lapan - Dato' Seri Mahawangsa,02,
0201006,Orang Besar Lapan - Seri Amar Di Raja,02,
0201007,Orang Besar Lapan - Dato' Seri Paduka Indera,02,
0201008,Orang Besar Lapan - Dato Seri Derma Wangsa,02,
0201009,Orang Besar Enam Belas - Dato Bijaya Indera,02,
0201010,Orang Besar Enam Belas - Dato Jaya Budiman,02,
0201011,Orang Besar Enam Belas - Dato Setia Jaya,02,
0201012,Orang Besar Enam Belas - Dato Lela Bakti,02,
0201013,Orang Besar Enam Belas - Dato Indera Setia,02,
0201014,Orang Besar Enam Belas - Dato Jaya Pahlawan,02,
0201015,Orang Besar Enam Belas - Dato Indera Senggara,02,
0201016,Orang Besar Enam Belas - Dato Lela Putra,02,
0201017,Orang Besar Enam Belas - Dato Panglima Jaya,02,
0201018,Orang Besar Enam Belas - Dato Lela Pahlawan,02,
0201019,Orang Besar Enam Belas - Dato Mursyid Diraja,02,
0201020,Orang Besar Enam Belas - Dato Jaya Dermawan,02,
0201021,Orang Besar Enam Belas - Dato Setia Diraja,02,
0201022,Orang Besar Enam Belas - Dato Jaya Perkasa,02,
0201023,Orang Besar Enam Belas - Dato Andika Raja,02,
0201024,Dato' Paduka Seri Setia Sultan Abdul Halim Muadzam Shah,01,D.H.M.S
0201025,Dato' Setia Di Raja Kedah,01,D.S.D.K
0201026,Setia Mahkota Kedah,02,S.M.K
0201027,Setia Di Raja Kedah,02,S.D.K
0201028,Bintang Setia Sultan Abdul Halim Muadzam Shah,02,B.M.S
0201029,Ahli Mahkota Kedah,02,A.M.K
0201030,Bintang Perkhidmatan Cemerlang Kedah,02,B.C.K
0201031,Pingat Perkhidmatan Cemerlang Kedah,02,P.C.K
0201032,Dato Maha Kurnia,02,
0201033,"Gemilang Seri Mahkota Kedah Yang Amat Dihormati",02,G.M.K
0201034,Setia Diraja Kedah (Kehormat),02,S.D.K (K)
0201035,Ahli Mahkota Kedah (Kehormat),02,A.M.K (K)
0201036,Darjah Kerabat,02,D.K
0201038,Darjah Kebesaran Gemilang Seri Mahkota Kedah -Amat Dihormati,01,D.G.M.K
0201039,Setia Sultan Abdul Halim Muadzam Shah,02,S.M.S
0201040,Darjah Utama Seri Mahawangsa Yang Dihormati,01,D.M.K
0201041,Darjah Seri Paduka Mahkota Kedah,01,S.P.M.K
0201042,Dato' Paduka Mahkota Kedah,01,D.P.M.K
0201043,Bintang Keberanian Kedah,02,B.K.K
0201044,Darjah Kerabat Halimi,02,D.K.H
0201045,Darjah Utama Kedah,02,D.U.M
0201046,Bintang Perkasa Kedah,02,B.P.K
0201047,Pingat Perkasa Kedah,02,P.P.K
0201048,Pingat Sultan Badlishah,02,P.S.B
0201049,Ahli Gemilang Mahkota Kedah,02,A.G.K
0201050,Bintang Kebaktian Masyarakat,02,B.K.M
0201051,Pingat Jasa Kebaktian,02,P.J.K
0201052,Bintang Perkhidmatan Lama,02,B.P.L
0201053,Pingat Perkhidmatan Lama,02,P.P.L
0201054,Darjah Utama Kedah,02,D.U.K
0201055,Bintang Perkhidmatan Cemerlang Kedah ,03,B.C.K
0201056,Darjah Setia DiRaja Kedah,01,D.S.D.K
0201057,Darjah Paduka Seri Setia Sultan Sallehuddin Kedah Yang Amat Dihormati,01,D.P.S.S
0201058,Seri Setia Sultan Sallehuddin Kedah,01,S.S.S
0201059,"Tokoh Belia Sejahtera (Kategori Pedidikan)",02,
0301001,Darjah Kebesaran Yang Amat Dihormati - Al-Yunusi,02,D.K
0301002,Seri Paduka Mahkota Kelantan - Al-Muhammadi I,01,S.P.M.K
0301003,Seri Paduka Jiwa Mahkota Kelantan - Al-Ismail I,01,S.J.M.K
0301004,Seri Paduka Setia Mahkota Kelantan - Al-Ibrahimi I,01,S.P.S.K
0301005,Seri Paduka Kesateria Mahkota Kelantan,02,S.P.K.K
0301006,Darjah Pahlawan Yang Amat Gagah Perkasa,02,P.Y.G.P
0301007,Dato Paduka Mahkota Kelantan - Al-Muhammadi Il,01,D.P.M.K
0301008,Dato Paduka Jiwa Mahkota Kelantan - Al-Ismail Il,01,D.J.M.K
0301009,Dato Paduka Setia Mahkota Kelantan - Al-Ibrahimi Il,01,D.P.S.K
0301010,Dato' Paduka Kesateria Mahkota Kelantan,02,D.P.K.K
0301011,Paduka Mahkota Kelantan - Al-Muhammadi III,02,P.M.K
0301012,Setia Jiwa Mahkota Kelantan - Al-Ismail III,02,J.M.K
0301013,Paduka Setia Mahkota Kelantan - Al-Ibrahimi III,02,P.S.K
0301014,Paduka Kesateria Mahkota Kelantan,02,P.K.K
0301015,Bentara Setia Mahkota Kelantan - Al-Ibrahim IV,02,B.S.K
0301016,Ahli Setia Mahkota Kelantan - Al-Ibrahimi V,02,A.S.K
0301017,Seri Mahkota Kelantan,02,S.M.K
0301018,Seri Kelantan,02,S.K
0301019,Ahli Kelantan,02,A.K
0301020,Pingat Bakti,02,P.B
0301021,Pingat Setia Mahkota Kelantan,02,P.S
0301022,Pingat Taat,02,P.T
0301023,Pingat Perangai Baik,02,P.P.B
0301024,Darjah Kebesaran Jiwa Mahkota Kelantan yang Amat Mulia,02,S.J.M.K
0401001,Bintang Cemerlang Melaka,02,B.C.M
0401002,Darjah  Mulia Seri Melaka,01,D.M.S.M
0401003,Darjah Utama Negeri Melaka,01,D.U.N.M
0401004,Darjah Gemilang Seri Melaka,01,D.G.S.M
0401005,Darjah Cemerlang Seri Melaka,01,D.C.S.M
0401006,Darjah Seri Melaka,02,D.S.M
0401007,Jaksa Pendamai,02,J.P
0401008,Bintang Khidmat Terpuji ,02,B.K.T
0401009,Bintang Gagah Perwira,02,B.G.P
0401010,Pingat Jaksa Kebaktian,02,P.J.K
0401011,Pingat Bakti Masyarakat,02,P.B.M
0401012,Pingat Khidmat Lama,02,P.K.L
0401013,Darjah Pangkuan Seri Melaka ,01,DPSM
0401014,Anugerah Gemilang Presiden,02,
0401015,Anugerah Tun Fatimah DMDI,99,
0401016,Anugerah Hang Tuah DMDI,99,
0401017,Pingat Jasa Cemerlang,02,
0501001,Darjah Kerabat Negeri Sembilan,02,D.K.N.S
0501002,Darjah Kerabat Yam Tuan Raden,02,D.K.Y.R
0501003,Darjah Tertinggi Negeri Sembilan,02,D.T.N.S
0501004,Darjah Mulia Negeri Sembilan,02,D.M.N.S
0501005,Darjah Seri Paduka Tuanku Jaafar Yang Amat Terpuji,01,S.P.T.J
0501006,Darjah Seri Utama Negeri Sembilan,01,S.P.N.S
0501007,Darjah Dato' Setia Negeri Sembilan,01,D.S.N.S
0501008,Darjah Dato' Paduka Tuanku Jaafar,01,D.P.T.J
0501009,Darjah Setia Negeri Sembilan,02,D.N.S
0501010,Pingat Pekerti Terpilih,02,P.P.T
0501011,Jaksa Pendamai,02,J.P
0501012,Ahli Setia Negeri Sembilan,02,A.N.S
0501013,Pingat Keberanian Cemerlang,02,P.K.C
0501014,Pingat Khidmat Cemerlang Masyarakat,02,P.M.C
0501015,Pingat Jasa Kebaktian ,02,P.J.K
0501016,Pingat Khidmat Lama,02,P.K.L
0501021,Darjah Kebesaran Dato' Paduka Tuanku Jaafar (DPTJ),01,DPTJ
0501022,Darjah Setia Bakti Negeri Sembilan (DBNS),01,D.B.N.S
0501023,Darjah Dato' Paduka Negeri Sembilan,01,D.P.N.S
0501024,Pingat Jubli Perak,02,
0501025,Darjah Pekerti Terpilih,02,D.P.T
0501026,Darjah Tuanku Muhriz,02,
0501027,Darjah Setia Tuanku Muhriz Yang Amat Gemilang (DSTM),01,DSTM
