occSectorCode,occSectorName
0,Tiada Maklumat
1,Pembuatan (Manufacturing)
2,Teknologi Maklumat (Information Technology)
3,Perkhidmatan (Service)
4,Telekomunikasi (Telecommunication)
5,Minyak dan Gas (Oil and Gas)
6,Pengangkutan (Transportation)
7,Bangunan dan Pembinaan (Building and Construction)
8,Pendidikan (Education)
9,Perniagaan
10,Perbankan
11,Perubatan
12,Perundangan
13,Bahasa
14,Persekitaran
15,Radiasi
16,Keselamatan dan Kesihatan
17,Kejuruteraan
18,Sumber Manusia
19,Pengurusan Perubahan
20,Teknologi Pembuatan dan Perindustrian
21,Teknologi Kimia
22,Pengurusan Projek
23,Audit
24,Penilai dan Pentaksir (Valuers and Appraisers)
25,Ejen Harta Tanah (Real Estate Agent)
26,Pengurus Harta
27,Pengurusan (Management)
28,Pengurusan Perniagaan (Business Management)
29,Penilaian/Pengurusan Aset (Valuation/Asset Management)
30,Information & Communication Technology (IT)
31,Perakaunan Pengurusan (Management Accounting)
32,Psikologi
33,Tadbir Urus Organisasi
34,Aerospace And Aviation Technology (AV)
35,Electrical and Electronic Technology (EE)
37,"Resource Based, Survey and Geomatics Technology (RB)"
38,Telecommunication and Broadcasting Technology (TB)
39,Bioteknologi (BT)
40,Kaunseling
99,Lain-Lain
