code,name,,serviceClassCode
1-APN-001,Orang Kaya Bendahara Sri Maharaja,,1
1-APN-002,Orang Kaya Besar Maharaja Diraja,,1
1-APN-003,Orang Kaya Temenggung Paduka Diraja,,1
1-APN-004,Orang Kaya Menteri Paduka Seri,,1
1-APN-005,Orang Kaya-Kaya Laksamana Raja Mahkota,,1
1-APN-006,Orang Kaya-Kaya Seri Adika Raja Shahbandar Perak,,1
1-APN-007,Orang Kaya-Kaya Panglima Kinta S/Amar Bangsa Diraja,,1
1-APN-008,Orang Kaya-Kaya Panglima Bukit Gantang S/Amar Diraja,,1
1-APN-009,Orang Kaya-Kaya Shahbandar Paduka Indera,,1
1-APN-010,Orang Kaya-Kaya Setia Bijaya Diraja,,1
1-APN-011,Orang Kaya-Kaya Iman Paduka Tuan,,1
1-APN-012,Orang Kaya-Kaya Sri Agar Diraja,,1
1-APN-013,"Raja Kecil Besar, Raja Kecil Sulung, Raja Kecil Tengah dan Raja Kecil Bongsu",,1
1-APN-014,Toh Muda Orang Besar Empat,,1
1-APN-015,Toh Muda Orang Besar Lapan,,1
1-APN-016,Orang Besar Enam Belas,,1
1-APN-017,Orang Besar Tiga Puluh Dua,,1
1-APN-018,Elaun Bertugas Bagi Orang-Orang Besar Jajahan,,1
1-APN-019,Raja Chik Dewa Pawang Diraja,,1
1-APN-020,Toh Pawang Dewa Jaya Diraja Pawang Diraja,,1
1-SOK-001,Juruiring,,1
1-SOK-002,Bentara Kiri,,1
1-SOK-003,Bentara Perempuan,,1
1-SOK-004,Pelayan Rumah,,1
1-SOK-005,Dang Perwara,,1
1-SOK-006,Panglima Perang Kanan,,1
1-SOK-007,Panglima Perang Kiri,,1
1-SOK-008,Pelayan Istana,,1
1-SOK-009,Penghulu Luar/Penghulu Dalam/Penghulu Balai,,1
1-SOK-010,Tukang Air,,1
1-SOK-011,Ratnapuri,,1
1-SOK-013,Pelayan Besar,,1
1-SOK-014,Ketua Pelayan,,1
1-SOK-015,Bentara Istana,,1
